designacao,cre,alf_le_resultado,alf_le_meta_2026,alf_le_crescimento_esperado,alf_mat_resultado,alf_mat_meta_2026,alf_mat_crescimento_esperado,iderio_4_resultado,iderio_4_meta_2026,iderio_4_crescimento_esperado,iderio_5_resultado,iderio_5_meta_2026,iderio_5_crescimento_esperado,indicador_rendimento_ai_resultado,indicador_rendimento_ai_meta_2026,indicador_rendimento_ai_crescimento_esperado,iderio_8_resultado,iderio_8_meta_2026,iderio_8_crescimento_esperado,iderio_9_resultado,iderio_9_meta_2026,iderio_9_crescimento_esperado,indicador_rendimento_af_resultado,indicador_rendimento_af_meta_2026,indicador_rendimento_af_crescimento_esperado
209013,2,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.5,5.7,0.2,,,
209014,2,51.0,58.0,7.0,56.0,60.0,4.0,4.5,5.1,0.6,5.2,6.0,0.8,,,,3.8,4.6,0.8,4.2,5.0,0.8,,,
209016,2,85.0,87.0,2.0,81.0,83.0,2.0,6.0,6.1,0.1,6.8,7.1,0.3,,,,4.5,5.1,0.6,4.6,5.4,0.8,,,
209017,2,87.0,88.0,1.0,71.0,74.0,3.0,6.3,6.2,0.0,7.3,7.4,0.1,,,,,,,,,,,,
209018,2,71.0,75.0,4.0,78.0,81.0,3.0,5.4,5.9,0.5,5.8,6.4,0.6,,,,,,,,,,,,
209019,2,79.0,82.0,3.0,85.0,87.0,2.0,5.0,5.6,0.6,6.3,6.7,0.4,,,,,,,,,,,,
209020,2,,,,,,,,,,,,,,,,5.3,5.4,0.1,5.1,5.5,0.4,,,
209021,2,74.0,77.0,3.0,79.0,82.0,3.0,4.3,4.9,0.6,5.0,6.0,1.0,,,,3.9,4.7,0.8,4.8,5.4,0.6,,,
209023,2,63.0,68.0,5.0,77.0,80.0,3.0,5.0,5.6,0.6,6.1,6.6,0.5,,,,4.8,5.1,0.3,5.1,5.5,0.4,,,
209024,2,85.0,87.0,2.0,96.0,96.0,0.0,5.4,5.9,0.5,6.6,7.0,0.4,,,,,,,,,,,,
209025,2,64.0,69.0,5.0,61.0,65.0,4.0,4.5,5.1,0.6,5.1,6.0,0.9,,,,4.0,4.8,0.8,4.4,5.2,0.8,,,
209026,2,,,,,,,,,,,,,,,,4.2,4.8,0.6,4.8,5.3,0.5,,,
209501,2,72.0,76.0,4.0,61.0,65.0,4.0,5.7,6.0,0.3,7.0,7.2,0.2,,,,,,,,,,,,
227001,2,80.0,82.0,2.0,83.0,85.0,2.0,5.6,6.0,0.4,6.0,6.6,0.6,,,,,,,,,,,,
227002,2,66.0,70.0,4.0,72.0,75.0,3.0,5.3,5.9,0.6,5.1,6.0,0.9,,,,,,,,,,,,
227005,2,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.4,5.7,0.3,,,
227006,2,72.0,76.0,4.0,75.0,78.0,3.0,5.7,6.0,0.3,6.7,7.1,0.4,,,,,,,,,,,,
227501,2,77.0,80.0,3.0,87.0,89.0,2.0,5.5,5.9,0.4,5.9,6.4,0.5,,,,,,,,,,,,
312001,3,43.0,51.0,8.0,44.0,60.0,16.0,5.6,6.0,0.4,5.6,6.3,0.7,,,,,,,,,,,,
312002,3,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.5,5.8,0.3,,,
312003,3,76.0,79.0,3.0,76.0,79.0,3.0,5.4,5.9,0.5,,,,,,,,,,,,,,,
312004,3,,,,,,,,,,,,,,,,4.6,5.0,0.4,5.0,5.5,0.5,,,
312005,3,88.0,89.0,1.0,89.0,90.0,1.0,5.7,6.0,0.3,6.8,7.1,0.3,,,,,,,,,,,,
312006,3,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.7,5.4,0.7,,,
312008,3,90.0,91.0,1.0,93.0,94.0,1.0,6.1,6.2,0.1,7.3,7.4,0.1,,,,,,,,,,,,
312009,3,,,,,,,,,,,,,,,,3.7,4.5,0.8,3.9,4.7,0.8,,,
312010,3,54.0,60.0,6.0,65.0,69.0,4.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
312011,3,59.0,64.0,5.0,58.0,62.0,4.0,3.8,4.4,0.6,4.8,5.8,1.0,,,,3.9,4.7,0.8,3.8,4.8,1.0,,,
312012,3,,,,,,,,,,,,,,,,4.4,5.0,0.6,4.7,5.3,0.6,,,
312013,3,98.0,98.0,0.0,98.0,98.0,0.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
312014,3,,,,,,,,,,,,,,,,4.1,4.7,0.6,4.9,5.4,0.5,,,
312015,3,52.0,58.0,6.0,59.0,63.0,4.0,4.7,5.3,0.6,6.7,7.0,0.3,,,,,,,,,,,,
312016,3,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.8,5.9,0.1,,,
312017,3,66.0,70.0,4.0,57.0,61.0,4.0,5.6,6.0,0.4,6.1,6.6,0.5,,,,,,,,,,0.99,0.99,0.0
312018,3,74.0,77.0,3.0,78.0,81.0,3.0,5.6,6.0,0.4,6.3,6.7,0.4,,,,,,,,,,,,
312019,3,41.0,50.0,9.0,46.0,60.0,14.0,6.0,6.1,0.1,5.4,6.1,0.7,,,,,,,,,,,,
312020,3,,,,,,,,,,,,,,,,4.4,4.9,0.5,4.8,5.3,0.5,,,
312021,3,69.0,73.0,4.0,77.0,80.0,3.0,5.2,5.8,0.6,6.5,6.9,0.4,,,,,,,,,,0.99,0.99,0.0
312022,3,44.0,51.0,7.0,46.0,60.0,14.0,5.3,5.9,0.6,5.8,6.4,0.6,,,,,,,,,,0.99,0.99,0.0
312023,3,60.0,65.0,5.0,76.0,79.0,3.0,5.1,5.7,0.6,5.7,6.4,0.7,,,,3.7,4.5,0.8,4.4,5.3,0.9,,,
312024,3,58.0,64.0,6.0,50.0,60.0,10.0,5.2,5.8,0.6,6.2,6.8,0.6,,,,,,,,,,,,
312025,3,90.0,91.0,1.0,96.0,96.0,0.0,5.5,5.9,0.4,7.4,7.5,0.1,,,,,,,,,,,,
312027,3,83.0,85.0,2.0,97.0,97.0,0.0,5.3,5.8,0.5,6.4,6.8,0.4,,,,,,,,,,,,
312029,3,53.0,59.0,6.0,70.0,73.0,3.0,5.8,6.1,0.3,6.2,6.7,0.5,,,,,,,,,,,,
312030,3,,,,,,,,,,,,,,,,4.7,5.0,0.3,4.7,5.2,0.5,,,
312031,3,,,,,,,,,,,,,,,,4.7,5.0,0.3,5.3,5.6,0.3,,,
312032,3,71.0,75.0,4.0,79.0,82.0,3.0,5.1,5.7,0.6,5.9,6.5,0.6,,,,,,,,,,,,
312033,3,65.0,70.0,5.0,46.0,60.0,14.0,5.6,5.9,0.3,6.6,6.9,0.3,,,,,,,,,,0.99,0.99,0.0
312034,3,69.0,73.0,4.0,82.0,84.0,2.0,5.3,5.8,0.5,5.9,6.5,0.6,,,,,,,,,,,,
312035,3,99.0,99.0,0.0,98.0,98.0,0.0,5.7,6.0,0.3,7.7,7.5,0.0,,,,,,,,,,,,
312037,3,49.0,56.0,7.0,90.0,91.0,1.0,5.0,5.6,0.6,5.3,6.1,0.8,,,,,,,,,,0.99,0.99,0.0
312041,3,68.0,72.0,4.0,70.0,73.0,3.0,5.7,6.0,0.3,6.4,6.8,0.4,,,,,,,,,,,,
312043,3,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.3,5.7,0.4,,,
312044,3,87.0,88.0,1.0,89.0,90.0,1.0,5.0,5.6,0.6,6.4,6.8,0.4,,,,,,,,,,,,
312501,3,66.0,70.0,4.0,90.0,91.0,1.0,5.3,5.8,0.5,5.5,6.2,0.7,,,,,,,,,,0.99,0.99,0.0
312503,3,55.0,61.0,6.0,69.0,72.0,3.0,5.3,5.8,0.5,5.9,6.5,0.6,,,,,,,,,,0.99,0.99,0.0
313001,3,83.0,85.0,2.0,78.0,81.0,3.0,5.8,6.1,0.3,6.4,6.8,0.4,,,,,,,,,,,,
313002,3,,,,,,,,,,,,,,,,4.4,4.9,0.5,5.0,5.5,0.5,,,
313003,3,69.0,73.0,4.0,60.0,64.0,4.0,5.3,5.8,0.5,5.9,6.5,0.6,,,,,,,,,,,,
313005,3,86.0,88.0,2.0,91.0,92.0,1.0,5.3,5.8,0.5,5.4,6.2,0.8,,,,,,,,,,,,
313006,3,,,,,,,,,,,,,,,,4.3,4.8,0.5,4.7,5.3,0.6,,,
313007,3,46.0,53.0,7.0,53.0,60.0,7.0,5.7,6.0,0.3,5.6,6.3,0.7,,,,,,,,,,,,
313008,3,63.0,68.0,5.0,75.0,78.0,3.0,5.7,6.0,0.3,5.9,6.5,0.6,,,,,,,,,,,,
313011,3,36.0,50.0,14.0,59.0,63.0,4.0,5.7,6.0,0.3,5.2,6.0,0.8,,,,,,,,,,0.99,0.99,0.0
313012,3,50.0,57.0,7.0,46.0,60.0,14.0,6.0,6.1,0.1,6.1,6.6,0.5,,,,,,,,,,,,
313013,3,75.0,78.0,3.0,86.0,88.0,2.0,5.6,6.0,0.4,5.4,6.2,0.8,,,,3.9,4.6,0.7,4.0,4.8,0.8,,,
